,Load,Load forecast
2020-01-02 07:15:00+01:00,54892.09,59746.25
2020-01-02 07:30:00+01:00,55958.58,60417.79
2020-01-02 07:45:00+01:00,56823.86,61148.83
2020-01-02 08:00:00+01:00,58069.33,61836.96
2020-01-02 08:15:00+01:00,58387.39,61886.5
2020-01-02 08:30:00+01:00,59051.4,62353.84
2020-01-02 08:45:00+01:00,59663.29,62560.92
2020-01-02 09:00:00+01:00,60300.97,62507.99
2020-01-02 09:15:00+01:00,60681.71,62534.64
2020-01-02 09:30:00+01:00,60945.36,62866.97
2020-01-02 09:45:00+01:00,61094.29,62930.44
2020-01-02 10:00:00+01:00,61475.42,63138.36
2020-01-02 10:15:00+01:00,61504.68,63385.74
2020-01-02 10:30:00+01:00,61890.49,63142.74
2020-01-02 10:45:00+01:00,62232.37,63205.56
2020-01-02 11:00:00+01:00,62269.6,63435.65
2020-01-02 11:15:00+01:00,62517.71,63523
2020-01-02 11:30:00+01:00,62733.77,63643.54
2020-01-02 11:45:00+01:00,62938.83,63614.02
2020-01-02 12:00:00+01:00,63043.06,63543.81
2020-01-02 12:15:00+01:00,62831.3,63304.76
2020-01-02 12:30:00+01:00,62888.88,63235.37
2020-01-02 12:45:00+01:00,62644.52,63106.29
2020-01-02 13:00:00+01:00,62430.9,62906.9
2020-01-02 13:15:00+01:00,62231.12,62693.8
2020-01-02 13:30:00+01:00,61902,62603.18
2020-01-02 13:45:00+01:00,61390.4,62091.25
2020-01-02 14:00:00+01:00,61204.46,62087.19
2020-01-02 14:15:00+01:00,61131.85,61979.26
2020-01-02 14:30:00+01:00,60977.8,61790.14
2020-01-02 14:45:00+01:00,60720,61750.03
2020-01-02 15:00:00+01:00,61019.59,61752.55
2020-01-02 15:15:00+01:00,60962.21,61637.85
2020-01-02 15:30:00+01:00,61056.72,61677.97
2020-01-02 15:45:00+01:00,61251.63,61318.84
2020-01-02 16:00:00+01:00,61745.64,61631.84
2020-01-02 16:15:00+01:00,62376.47,61734.68
2020-01-02 16:30:00+01:00,63219.44,62282.38
2020-01-02 16:45:00+01:00,64358.03,63042.62
2020-01-02 17:00:00+01:00,65389.8,63979.71
2020-01-02 17:15:00+01:00,65767.6,64305.09
2020-01-02 17:30:00+01:00,66122.87,64514.56
2020-01-02 17:45:00+01:00,66278.98,64650.17
2020-01-02 18:00:00+01:00,66213.93,64574.52
2020-01-02 18:15:00+01:00,66142.77,64357.73
2020-01-02 18:30:00+01:00,65962.28,64245.25
2020-01-02 18:45:00+01:00,65751.55,63952.85
2020-01-02 19:00:00+01:00,65336.52,63771.58
2020-01-02 19:15:00+01:00,64856.8,63050.66
2020-01-02 19:30:00+01:00,64495.75,62704.57
2020-01-02 19:45:00+01:00,63878.92,62257.66
2020-01-02 20:00:00+01:00,62664.96,61192.43
2020-01-02 20:15:00+01:00,61144.01,60108.4
2020-01-02 20:30:00+01:00,60241.7,59391.75
2020-01-02 20:45:00+01:00,59443.78,58613.2
2020-01-02 21:00:00+01:00,58702.04,57975.85
2020-01-02 21:15:00+01:00,58388.79,57294.07
2020-01-02 21:30:00+01:00,57652.43,56602.68
2020-01-02 21:45:00+01:00,57325.84,56292.17
2020-01-02 22:00:00+01:00,57471.95,55945.39
2020-01-02 22:15:00+01:00,56703.4,55305.79
2020-01-02 22:30:00+01:00,55642.09,54507.14
2020-01-02 22:45:00+01:00,54823.25,53709.7
2020-01-02 23:00:00+01:00,53950.48,52938.65
2020-01-02 23:15:00+01:00,52984.84,51983.82
2020-01-02 23:30:00+01:00,52154.04,51195.31
2020-01-02 23:45:00+01:00,51534.36,50635.3
2020-01-03 00:00:00+01:00,50419.08,50766.23
2020-01-03 00:15:00+01:00,49675.55,50507.82
2020-01-03 00:30:00+01:00,49555.19,50062.13
2020-01-03 00:45:00+01:00,48896.83,49525.06
2020-01-03 01:00:00+01:00,48634.96,48946.65
2020-01-03 01:15:00+01:00,48174.5,48497.25
2020-01-03 01:30:00+01:00,48071.87,48282.71
2020-01-03 01:45:00+01:00,47689.55,47931.06
2020-01-03 02:00:00+01:00,47774.95,47637.89
2020-01-03 02:15:00+01:00,47257.66,47713.37
2020-01-03 02:30:00+01:00,47259.01,47476.87
2020-01-03 02:45:00+01:00,47135.99,47525.73
2020-01-03 03:00:00+01:00,47176.91,47463.71
2020-01-03 03:15:00+01:00,47156.92,47650.68
2020-01-03 03:30:00+01:00,47228.13,47625.74
2020-01-03 03:45:00+01:00,47449.01,47985.6
2020-01-03 04:00:00+01:00,47706.29,47949.09
2020-01-03 04:15:00+01:00,47932.6,48259.58
2020-01-03 04:30:00+01:00,48347.92,48345.24
2020-01-03 04:45:00+01:00,48638.13,48971.62
2020-01-03 05:00:00+01:00,49438.86,49914.33
2020-01-03 05:15:00+01:00,49833.29,50070.31
2020-01-03 05:30:00+01:00,50571.87,50950.05
2020-01-03 05:45:00+01:00,51346.45,51803.08
2020-01-03 06:00:00+01:00,52643.08,54085.37
2020-01-03 06:15:00+01:00,53698.75,55223.95
2020-01-03 06:30:00+01:00,54740.86,56687.12
2020-01-03 06:45:00+01:00,55753.28,57737.86
2020-01-03 07:00:00+01:00,56831.21,59489.23
2020-01-03 07:15:00+01:00,57787.43,60489.22
2020-01-03 07:30:00+01:00,59020.28,62691.31
2020-01-03 07:45:00+01:00,59887.17,63505.38
2020-01-03 08:00:00+01:00,60754.92,64149.57
2020-01-03 08:15:00+01:00,61295.73,64129.6
2020-01-03 08:30:00+01:00,61774.09,64523.13
2020-01-03 08:45:00+01:00,62057.82,64758.54
2020-01-03 09:00:00+01:00,62691.46,64334.99
2020-01-03 09:15:00+01:00,63172.1,64519.08
2020-01-03 09:30:00+01:00,63696.96,64782.59
2020-01-03 09:45:00+01:00,63848.51,64762.83
2020-01-03 10:00:00+01:00,64230.17,64937.17
2020-01-03 10:15:00+01:00,64385.56,65384.5
2020-01-03 10:30:00+01:00,64485.39,65049.37
2020-01-03 10:45:00+01:00,64683.6,64994.31
2020-01-03 11:00:00+01:00,65360.14,65186.96
2020-01-03 11:15:00+01:00,65728.51,65273.78
2020-01-03 11:30:00+01:00,65992.77,65381.45
2020-01-03 11:45:00+01:00,66039.43,65342.69
2020-01-03 12:00:00+01:00,66126.87,65238.62
2020-01-03 12:15:00+01:00,66000.98,64809.01
2020-01-03 12:30:00+01:00,65766.39,64801.42
2020-01-03 12:45:00+01:00,65447.88,64593.5
2020-01-03 13:00:00+01:00,65191.21,64259.94
2020-01-03 13:15:00+01:00,64689.37,63691.73
2020-01-03 13:30:00+01:00,64440.6,63185.22
2020-01-03 13:45:00+01:00,63638.69,62664.14
2020-01-03 14:00:00+01:00,63926.63,62400.47
2020-01-03 14:15:00+01:00,63427.41,62294.85
2020-01-03 14:30:00+01:00,63304.07,62160.83
2020-01-03 14:45:00+01:00,63142.95,61871.15
2020-01-03 15:00:00+01:00,63055.65,61901.14
2020-01-03 15:15:00+01:00,62922.03,61704.77
2020-01-03 15:30:00+01:00,62947.76,61729.3
2020-01-03 15:45:00+01:00,62797.9,61521.15
2020-01-03 16:00:00+01:00,63230.27,61733.84
2020-01-03 16:15:00+01:00,63208.47,61813.61
2020-01-03 16:30:00+01:00,63942.16,62636.08
2020-01-03 16:45:00+01:00,64793.14,63260.67
2020-01-03 17:00:00+01:00,65642.7,64084.64
2020-01-03 17:15:00+01:00,65803.18,64454.72
2020-01-03 17:30:00+01:00,65861.42,64507.39
2020-01-03 17:45:00+01:00,65926.23,64450.71
2020-01-03 18:00:00+01:00,66005.27,64437.28
2020-01-03 18:15:00+01:00,65613.08,64439.82
2020-01-03 18:30:00+01:00,65459.6,64070.82
2020-01-03 18:45:00+01:00,65145.81,63675.44
2020-01-03 19:00:00+01:00,64561.82,63509.18
2020-01-03 19:15:00+01:00,64046.2,62678.85
2020-01-03 19:30:00+01:00,63466.14,62314.05
2020-01-03 19:45:00+01:00,62592.89,62014.61
2020-01-03 20:00:00+01:00,61257.16,60647.88
2020-01-03 20:15:00+01:00,60324.77,59597.37
2020-01-03 20:30:00+01:00,59533.9,58815.97
2020-01-03 20:45:00+01:00,58564.43,57965.92
2020-01-03 21:00:00+01:00,57452.9,57223.81
2020-01-03 21:15:00+01:00,57010.63,56725.02
2020-01-03 21:30:00+01:00,56293.5,56028.12
2020-01-03 21:45:00+01:00,55696.23,55727.07
2020-01-03 22:00:00+01:00,55774.6,55723.76
2020-01-03 22:15:00+01:00,55516.62,55240.22
2020-01-03 22:30:00+01:00,54797.16,54539.38
2020-01-03 22:45:00+01:00,54075.7,53719.1
2020-01-03 23:00:00+01:00,53255,52916.29
2020-01-03 23:15:00+01:00,52392.5,52082.66
2020-01-03 23:30:00+01:00,51322.41,51361.14
2020-01-03 23:45:00+01:00,50979.29,50931.24
2020-01-04 00:00:00+01:00,50478.46,51481.32
2020-01-04 00:15:00+01:00,49371.82,51616.54
2020-01-04 00:30:00+01:00,48643.95,51216.42
2020-01-04 00:45:00+01:00,48611.47,50841.44
2020-01-04 01:00:00+01:00,47714.33,50015.29
2020-01-04 01:15:00+01:00,47174.58,49522.03
2020-01-04 01:30:00+01:00,46607.41,49474.32
2020-01-04 01:45:00+01:00,46680.22,49043.65
2020-01-04 02:00:00+01:00,46487.03,48775.05
2020-01-04 02:15:00+01:00,45947.69,48557.92
2020-01-04 02:30:00+01:00,46161.56,48466.74
