timestamp,y,y_hat
2025-10-06 11:45:00+02:00,67157.53,67233.46
2025-10-06 12:00:00+02:00,66945.72,66870.07
2025-10-06 12:15:00+02:00,66247.221,66671.32
2025-10-06 12:30:00+02:00,66283.194,66637.62
2025-10-06 12:45:00+02:00,66489.188,66244.7
2025-10-06 13:00:00+02:00,67015.369,65999.58
2025-10-06 13:15:00+02:00,66594.474,65639.03
2025-10-06 13:30:00+02:00,66040.243,65099.41
2025-10-06 13:45:00+02:00,65189.644,64685.57
2025-10-06 14:00:00+02:00,65191.36,64230.28
2025-10-06 14:15:00+02:00,64956.621,63951.02
2025-10-06 14:30:00+02:00,64625.405,63723.18
2025-10-06 14:45:00+02:00,64434.982,63346.2
2025-10-06 15:00:00+02:00,63955.051,63271.89
2025-10-06 15:15:00+02:00,63668.582,62782.57
2025-10-06 15:30:00+02:00,63538.798,62402.97
2025-10-06 15:45:00+02:00,63101.933,62083.87
2025-10-06 16:00:00+02:00,63170.083,62469.07
2025-10-06 16:15:00+02:00,62623.871,62090.1
2025-10-06 16:30:00+02:00,62401.383,61993.42
2025-10-06 16:45:00+02:00,62424.516,62055.64
2025-10-06 17:00:00+02:00,62517.794,62208.52
2025-10-06 17:15:00+02:00,62498.762,62255.51
2025-10-06 17:30:00+02:00,62630.647,62511.62
2025-10-06 17:45:00+02:00,62736.94,62837.34
2025-10-06 18:00:00+02:00,62868.368,63149.86
2025-10-06 18:15:00+02:00,62786.595,63251.46
2025-10-06 18:30:00+02:00,62892.042,63351.63
2025-10-06 18:45:00+02:00,63668.81,63322.55
2025-10-06 19:00:00+02:00,64198.379,62973.32
2025-10-06 19:15:00+02:00,63574.67,62918.89
2025-10-06 19:30:00+02:00,63534.51,62703.2
2025-10-06 19:45:00+02:00,62927.359,62359.48
2025-10-06 20:00:00+02:00,61715.528,61126.39
2025-10-06 20:15:00+02:00,60545.063,60544.35
2025-10-06 20:30:00+02:00,59618.037,59974.14
2025-10-06 20:45:00+02:00,58597.403,59212.93
2025-10-06 21:00:00+02:00,57428.327,58289.75
2025-10-06 21:15:00+02:00,56805.301,57407.44
2025-10-06 21:30:00+02:00,55883.782,56666.03
2025-10-06 21:45:00+02:00,54887.634,55648.0
2025-10-06 22:00:00+02:00,54003.469,54690.29
2025-10-06 22:15:00+02:00,53249.569,53814.06
2025-10-06 22:30:00+02:00,52094.244,52803.29
2025-10-06 22:45:00+02:00,51150.268,51794.48
2025-10-06 23:00:00+02:00,49826.917,50648.2
2025-10-06 23:15:00+02:00,49002.992,49875.31
2025-10-06 23:30:00+02:00,48470.363,49001.73
2025-10-06 23:45:00+02:00,47564.022,48167.31
2025-10-07 00:00:00+02:00,46942.8,46914.28
2025-10-07 00:15:00+02:00,46032.835,46216.28
2025-10-07 00:30:00+02:00,45458.51,45753.17
2025-10-07 00:45:00+02:00,44873.377,45424.84
2025-10-07 01:00:00+02:00,44512.634,44622.41
2025-10-07 01:15:00+02:00,44347.205,44498.34
2025-10-07 01:30:00+02:00,44020.956,44519.2
2025-10-07 01:45:00+02:00,43887.76,44345.1
2025-10-07 02:00:00+02:00,43581.826,43824.56
2025-10-07 02:15:00+02:00,43493.776,43702.67
2025-10-07 02:30:00+02:00,43451.663,43664.74
2025-10-07 02:45:00+02:00,43484.769,43754.98
2025-10-07 03:00:00+02:00,43203.475,43721.81
2025-10-07 03:15:00+02:00,43206.054,43838.85
2025-10-07 03:30:00+02:00,43490.068,43928.58
2025-10-07 03:45:00+02:00,43770.436,43948.55
2025-10-07 04:00:00+02:00,44624.233,44407.93
2025-10-07 04:15:00+02:00,44977.958,44686.64
2025-10-07 04:30:00+02:00,45281.455,45138.9
2025-10-07 04:45:00+02:00,45946.837,45701.54
2025-10-07 05:00:00+02:00,47471.74,46669.95
2025-10-07 05:15:00+02:00,48258.582,47564.13
2025-10-07 05:30:00+02:00,49248.963,48488.44
2025-10-07 05:45:00+02:00,50757.234,49858.32
2025-10-07 06:00:00+02:00,53841.511,52100.35
2025-10-07 06:15:00+02:00,56242.28,53924.07
2025-10-07 06:30:00+02:00,57875.853,55589.53
2025-10-07 06:45:00+02:00,59522.14,56904.87
2025-10-07 07:00:00+02:00,61016.09,58636.5
2025-10-07 07:15:00+02:00,62032.633,59695.14
2025-10-07 07:30:00+02:00,62520.24,60611.76
2025-10-07 07:45:00+02:00,62888.537,61434.03
2025-10-07 08:00:00+02:00,63784.385,62433.3
2025-10-07 08:15:00+02:00,64416.841,63061.46
2025-10-07 08:30:00+02:00,64839.382,63452.75
2025-10-07 08:45:00+02:00,65031.668,63909.63
2025-10-07 09:00:00+02:00,64789.715,64006.35
2025-10-07 09:15:00+02:00,65004.408,64579.41
2025-10-07 09:30:00+02:00,65020.661,64809.12
2025-10-07 09:45:00+02:00,65537.429,65204.96
2025-10-07 10:00:00+02:00,65844.397,65343.33
2025-10-07 10:15:00+02:00,65908.028,65775.28
2025-10-07 10:30:00+02:00,65827.37,66030.33
2025-10-07 10:45:00+02:00,66113.524,66275.85
2025-10-07 11:00:00+02:00,66383.979,66454.74
2025-10-07 11:15:00+02:00,66797.034,66598.61
2025-10-07 11:30:00+02:00,66905.226,66699.74
2025-10-07 11:45:00+02:00,66937.733,66631.47
2025-10-07 12:00:00+02:00,65630.676,66255.39
2025-10-07 12:15:00+02:00,65425.888,66008.83
2025-10-07 12:30:00+02:00,65295.653,65948.57
2025-10-07 12:45:00+02:00,65305.841,65786.64
2025-10-07 13:00:00+02:00,65762.032,65696.49
2025-10-07 13:15:00+02:00,65110.2,64982.53
2025-10-07 13:30:00+02:00,64175.511,64884.58
2025-10-07 13:45:00+02:00,63583.531,64321.19
2025-10-07 14:00:00+02:00,63105.739,63873.05
2025-10-07 14:15:00+02:00,63056.168,63438.07
2025-10-07 14:30:00+02:00,62533.307,63117.6
2025-10-07 14:45:00+02:00,62274.719,62655.44
2025-10-07 15:00:00+02:00,62423.693,62682.76
2025-10-07 15:15:00+02:00,62107.668,62174.28
2025-10-07 15:30:00+02:00,61795.115,61911.14
2025-10-07 15:45:00+02:00,61518.248,61464.89
2025-10-07 16:00:00+02:00,61270.426,62050.5
2025-10-07 16:15:00+02:00,61217.389,61524.59
2025-10-07 16:30:00+02:00,61099.172,61303.49
2025-10-07 16:45:00+02:00,61247.826,61325.56
2025-10-07 17:00:00+02:00,61659.39,61637.96
2025-10-07 17:15:00+02:00,62167.256,61745.67
