pit_ks_stat,pit_ks_pvalue,pit_cvm_stat,pit_cvm_pvalue,pit_ad_stat,pit_ad_critvals,pit_ad_siglevels,pit_lb_stat_lag5,pit_lb_pvalue_lag5,pit_lb_stat_lag10,pit_lb_pvalue_lag10,pit_lb_stat_lag20,pit_lb_pvalue_lag20,pit_lb_input,crps_mean,empirical_coverage,window_start,window_end,window_len,window_step,window_mode
0.394,1.7144376899139728e-35,12.215329333333335,1.5109615780772856e-09,0.5788108580325684,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",765.2777563856293,3.752281944967157e-163,1080.9930867631283,6.5995472593141765e-226,1155.1620644788495,2.892721505486837e-232,z=Phi^{-1}(u),819.1591423103672,1.0,12250,12500,250,250,non_overlapping
0.402,5.47359332903103e-37,16.120525333333333,6.304763155995374e-09,4.029541822758773,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",1044.7638558304589,1.2218101785094285e-223,1782.887559658898,0.0,2581.4000836877753,0.0,z=Phi^{-1}(u),1403.0663127387318,0.876,12500,12750,250,250,non_overlapping
0.27199999999999996,7.849561393665993e-17,6.5821933333333345,5.629341437440871e-11,4.484974662536416,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",705.2068279046964,3.676400325200009e-150,907.4255220766315,1.6062068708138174e-188,993.5284111483934,9.366133498311428e-198,z=Phi^{-1}(u),735.3260312463036,1.0,12750,13000,250,250,non_overlapping
0.502,8.147259632240355e-59,18.160553333333336,2.556169942380393e-09,4.707808883529083,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",898.1712663760491,6.6205631684250856e-192,1365.9104186582363,2.2710473416877348e-287,1606.5346392457325,0.0,z=Phi^{-1}(u),997.7421448737846,1.0,13000,13250,250,250,non_overlapping
0.274,4.456284348465677e-17,5.8946413333333325,5.057287921772513e-12,1.0291102434706545,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",965.2036632172797,2.0501421644875843e-206,1531.0049005642372,0.0,2006.3250377198171,0.0,z=Phi^{-1}(u),777.5994167982949,1.0,13250,13500,250,250,non_overlapping
0.48800000000000004,2.1566069165095773e-55,23.780621333333233,1.2637342283738917e-09,19.31615050434135,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",689.4872796054767,9.209499387557672e-147,966.2236068931977,3.522023216716764e-201,1131.488414096625,3.3203400445370036e-227,z=Phi^{-1}(u),1636.8195513255928,0.9,13500,13750,250,250,non_overlapping
0.33999999999999997,2.707501200262034e-26,8.227741333333334,4.471645276282743e-11,1.8478972140846963,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",987.5075247653549,3.0437831018618905e-211,1580.390446604508,0.0,1822.5937872898392,0.0,z=Phi^{-1}(u),1030.498338886446,1.0,13750,14000,250,250,non_overlapping
0.194,1.0217160464819998e-08,2.943185333333333,8.783527594147245e-08,1.3267656386831845,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",996.1320742955236,4.1330429732438224e-213,1661.1327428869508,0.0,2325.77985480047,0.0,z=Phi^{-1}(u),854.8702770835578,1.0,14000,14250,250,250,non_overlapping
0.21200000000000002,2.445463195097008e-10,4.411253333333333,4.414524301665779e-11,5.026102785341266,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",988.1690997876387,2.1887185161794633e-211,1586.566905343228,0.0,1893.6611282766876,0.0,z=Phi^{-1}(u),839.8895259609867,1.0,14250,14500,250,250,non_overlapping
0.15,2.2447668867543865e-05,0.8939133333333332,0.004330839393692165,5.895060334191271,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",1123.0747916805324,1.3458573059633995e-240,2038.4625477187576,0.0,3114.950052667768,0.0,z=Phi^{-1}(u),1178.8630935457422,1.0,14500,14750,250,250,non_overlapping
0.35,6.994883326630272e-28,8.700909333333334,1.3877377025295345e-10,5.088132095748961,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",1056.8308262167604,2.9796221000226682e-226,1816.3504878371214,0.0,2539.4793690976235,0.0,z=Phi^{-1}(u),1050.3019738861701,1.0,14750,15000,250,250,non_overlapping
0.448,2.7398499727190613e-46,17.198377333333333,9.88151227510059e-10,0.3809559677618779,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",659.6389363571008,2.61202194511405e-140,870.0108361837354,1.8084952674099692e-180,929.8588385022392,3.458674201770975e-184,z=Phi^{-1}(u),979.1661683307354,1.0,15000,15250,250,250,non_overlapping
0.29,4.0952542143721287e-19,8.709021333333334,1.4134338144344838e-10,0.7309314243776441,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",781.1365873496736,1.3929046559201395e-166,1342.846355294817,2.1626396300662064e-282,1969.7252840810045,0.0,z=Phi^{-1}(u),679.0604869360666,1.0,15250,15500,250,250,non_overlapping
0.28600000000000003,1.3586822268127908e-18,6.831961333333334,1.1995471282943981e-10,1.3173065944129405,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",789.4456704662508,2.2207633648983357e-168,1227.4412702838722,1.7338900893906778e-257,2012.6869281672991,0.0,z=Phi^{-1}(u),724.7917076034043,1.0,15500,15750,250,250,non_overlapping
0.356,7.366296625002678e-29,11.309645333333332,3.7434599864383244e-10,0.9250065454982632,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",821.3951347740582,2.719850069303159e-175,1361.1531528707362,2.4165809463384254e-286,1872.4234618517348,0.0,z=Phi^{-1}(u),810.808846275165,1.0,15750,16000,250,250,non_overlapping
